Axis: (1, 0.03625598925748467)
Axis: (0, -0.08542130802331614)
Axis: (1, 0.046143986327707755)
Axis: (0, -0.08859523300881984)
Axis: (1, 0.03295999023407697)
Axis: (1, 0.009857478560747094)
Axis: (1, -0.003357036042359691)
Axis: (1, -0.013245033112582781)
Axis: (0, 0.9651783806878872)
Axis: (1, -0.6865138706625569)
Axis: (1, -0.40269173253578294)
Axis: (1, -0.42909024323252054)
Axis: (1, -0.4587847529526658)
Axis: (1, -0.48850978118228705)
Axis: (1, -0.5215002899258401)
Axis: (1, -0.5313882869960631)
Axis: (1, -0.5611133152256844)
Axis: (1, -0.5941038239692373)
Axis: (1, -0.6237983336893826)
Axis: (0, 0.9968260750144963)
Axis: (1, -0.6469008453627125)
Axis: (0, 0.9905087435529649)
Axis: (1, -0.67329935605945)
Axis: (0, 0.9651783806878872)
Axis: (1, -0.6865138706625569)
Axis: (0, 0.8987395855586413)
Axis: (1, -0.7921079134495072)
Axis: (0, -0.6139103366191595)
Axis: (1, -0.8383129367961669)
Axis: (0, -0.6234015930661947)
Axis: (1, -0.8284249397259438)
Axis: (0, -0.6423841059602649)
Axis: (1, -0.8185369426557207)
Axis: (0, -0.6487014374217963)
Axis: (1, -0.8086184270760216)
Axis: (0, -0.6582232123783075)
Axis: (1, -0.8020264290292062)
Axis: (0, -0.6613666188543351)
Axis: (1, -0.7921079134495072)
Axis: (0, -0.6328928495132298)
Axis: (1, -0.7987304300057985)
Axis: (0, -0.6075624866481522)
Axis: (1, -0.8350169377727592)
Axis: (0, -0.5506149479659413)
Axis: (1, -0.8878444776757103)
Axis: (0, -0.48414563432721947)
Axis: (1, -0.9637440107425154)
Axis: (0, -0.4050416577654347)
Axis: (1, -0.9868465224158453)
Axis: (0, -0.2816248054445021)
Axis: (1, -0.9934385204626606)
Axis: (0, -0.1455427716910306)
Axis: (1, -0.9967345194860683)
Axis: (0, 0.047486800744651635)
Axis: (1, -0.9934385204626606)
Axis: (0, 0.23734244819483016)
Axis: (1, -0.9868465224158453)
Axis: (0, 0.4113895077364422)
Axis: (1, -0.9835505233924375)
Axis: (0, 0.5664540543839839)
Axis: (1, -0.9769280068361461)
Axis: (0, 0.7341837824640645)
Axis: (0, 0.8006225775933103)
Axis: (1, -0.9571214941862239)
Axis: (0, 0.8290963469344157)
Axis: (1, -0.9208349864192633)
Axis: (0, 0.8449354533524582)
Axis: (1, -0.8944364757225257)
Axis: (0, 0.8544267097994934)
Axis: (1, -0.8845179601428266)
Axis: (0, 0.8639179662465285)
Axis: (1, -0.8515274513992737)
Axis: (0, 0.8829004791405988)
Axis: (1, -0.8317209387493515)
Axis: (0, 0.8987395855586413)
Axis: (1, -0.7921079134495072)
Axis: (0, -0.772118289742729)
Axis: (1, 0.6996063112277596)
Axis: (0, -0.5094759971922971)
Axis: (1, 0.9042329172643208)
Axis: (0, -0.5379497665334025)
Axis: (1, 0.8943144016846217)
Axis: (0, -0.5632801293984802)
Axis: (1, 0.881130405590991)
Axis: (0, -0.5917538987395855)
Axis: (1, 0.8547318948942534)
Axis: (0, -0.6107364116336558)
Axis: (1, 0.8448133793145542)
Axis: (0, -0.6392101809747612)
Axis: (1, 0.8316293832209235)
Axis: (0, -0.6677144688253426)
Axis: (1, 0.8019043549913022)
Axis: (0, -0.7025055696279794)
Axis: (1, 0.7887203588976714)
Axis: (0, -0.7246620075075534)
Axis: (1, 0.772209845271157)
Axis: (0, -0.7341532639545885)
Axis: (1, 0.7524033326212348)
Axis: (0, -0.7436445204016235)
Axis: (1, 0.7326273384807886)
Axis: (0, -0.749992370372631)
Axis: (1, 0.7161168248542741)
Axis: (0, -0.772118289742729)
Axis: (1, 0.6996063112277596)
Axis: (0, -0.42088076418347725)
Axis: (1, 0.9009369182409132)
Axis: (0, -0.5252845851008636)
Axis: (1, 0.8580278939176611)
Axis: (0, -0.5126499221778008)
Axis: (1, 0.8613238929410687)
Axis: (0, -0.5031586657307657)
Axis: (1, 0.8646198919644764)
